@context,@type,name,description,url,image
https://schema.org/,Thing,AFSIC 2024,"Africa's leading investment conference, focusing on investment opportunities, financial markets, and business development across the African continent.Taking place in London UK On Oct 07-09, 2024",https://www.afsic.net/,http://afsic.net/wp-content/uploads/2017/03/AFSIC-Logo.jpg
https://schema.org/,Thing,Korea Blockchain Week,"A major blockchain event in Korea, featuring global industry leaders and discussions on blockchain advancements, use cases, and regulation.Taking place in Seoul South Korea On Sep 01-07, 2024",https://koreablockchainweek.com/,http://koreablockchainweek.com/cdn/shop/files/Screenshot_2024-02-08_at_2.21.43_PM.png
https://schema.org/,Thing,Alternative Investing Summit 2024,"A summit focused on alternative investment strategies, covering hedge funds, private equity, and venture capital markets.Taking place in Dana Point USA On Dec 08-10, 2024",https://opalgroup.net/conference/alternative-investing-summit-2024/,http://opalgroup.net/wp-content/uploads/2019/08/AIS-OG-1200x630-1.jpg
https://schema.org/,Thing,Arabian Blockchain & Crypto Expo,"A leading blockchain and cryptocurrency event in the Middle East, covering trends in digital assets, decentralized finance (DeFi), and blockchain adoption across the Arabian market.Taking place in Dubai UAE On Dec 06-07, 2024",https://arabiancryptoexpo.com/,http://opalgroup.net/wp-content/uploads/2019/08/CLO-OG-1024x512-1.jpg
https://schema.org/,Thing,CLO Summit 2024,"A summit focused on collateralized loan obligations (CLOs), discussing trends in structured finance, risk management, and investment strategies for CLO markets.Taking place in Dana Point USA On Dec 04-06, 2024",https://opalgroup.net/conference/clo-summit-2024/,http://opalgroup.net/wp-content/uploads/2019/08/CLO-OG-1024x512-1.jpg
https://schema.org/,Thing,Family Office & Private Wealth Management Forum West 2024,"A forum for family offices and private wealth management professionals, discussing investment strategies, wealth preservation, and financial management.Taking place in Napa USA On Oct 15-17, 2024",https://opalgroup.net/conference/family-office-private-wealth-management-forum-west-2024/,http://opalgroup.net/wp-content/uploads/2019/08/FOPWW-OG-1200x630-1.jpg
https://schema.org/,Thing,Emerging Managers Summit 2024,"A conference dedicated to emerging investment managers, offering insights into fundraising, investment strategies, and market dynamics.Taking place in Atlanta Georgia On Sep 23-24, 2024",https://opalgroup.net/conference/emerging-managers-summit-2024/,http://opalgroup.net/wp-content/uploads/2021/07/EMS-OG-1024x512-1.jpg
https://schema.org/,Thing,ABS Summit 2024,"A summit dedicated to asset-backed securities (ABS), covering investment strategies, regulatory challenges, and innovations in the ABS markets.Taking place in Dana Point USA On Dec 04-06, 2024",https://opalgroup.net/conference/abs-summit-2024/,http://opalgroup.net/wp-content/uploads/2022/12/ABS-OG-1200x630-1.jpg
https://schema.org/,Thing,European Private Credit Summit,"A summit focused on private credit markets in Europe, discussing investment opportunities, market trends, and regulatory developments.Taking place in London UK On Oct 9, 2024",https://opalgroup.net/conference/european-private-credit-summit-2024/,http://opalgroup.net/wp-content/uploads/2024/03/EPCS-OG-1200x630-1.jpg
https://schema.org/,Thing,Fintech Specialty Finance Forum 2024,"A forum focused on specialty finance and fintech, exploring trends in alternative lending, digital finance, and fintech innovations in the specialty finance sector.Taking place in Dana Point USA On Dec 04-06, 2024",https://opalgroup.net/conference/fintech-specialty-finance-forum-2024/,http://opalgroup.net/wp-content/uploads/2024/03/FSFF-OG-1024x512-1.jpg
https://schema.org/,Thing,Global Alternative Investing Summit 2024,"A summit exploring alternative investment strategies, including private equity, venture capital, and alternative asset classes.Taking place in London UK On Oct 7, 2024",https://opalgroup.net/conference/global-alternative-investing-summit-2024/,http://opalgroup.net/wp-content/uploads/2024/04/GAIS-OG-1024x512-1.jpg
https://schema.org/,Thing,Hubbis Digital Wealth Forum,"A forum in Singapore focused on digital wealth management, covering fintech innovations, investment strategies, and wealth management technology.Taking place in Singapore On Oct 9, 2024",https://hubbis.com/event/hubbis-digital-wealth-forum-singapore-2024-2024-10-9/,http://opalgroup.net/wp-content/uploads/2024/04/LATAM-FF-OG-1024x512-1.jpg
https://schema.org/,Thing,Latam Fintech Forum,"A forum dedicated to fintech innovations and investment opportunities across Latin America.Taking place in Miami USA On Oct 08-09, 2024",https://opalgroup.net/conference/latam-fintech-forum-2024/,http://opalgroup.net/wp-content/uploads/2024/04/LATAM-FF-OG-1024x512-1.jpg
https://schema.org/,Thing,Celebrating Women in Structured Finance Summit 2024,"A forum gathering finance professionals and leaders to discuss innovations, trends, and challenges in the global financial landscape.Taking place in New York USA On Sep 26, 2024",https://opalgroup.net/conference/celebrating-women-in-structured-finance-summit-2024-us/,http://opalgroup.net/wp-content/uploads/2024/08/CWSFS-OG-DLA-NY-1024x512-1.jpg
https://schema.org/,Thing,Tulum Crypto Fest,"A festival in Tulum, Mexico, celebrating cryptocurrency, blockchain technology, and decentralized finance (DeFi), bringing together enthusiasts and industry leaders.Taking place in Tulum Mexico On Dec 12-15, 2024",https://www.tulumcryptofest.com/,http://static1.squarespace.com/static/62508ed70ca4590be1058df8/t/666118b5240b1f75c8e24bab/1717639350029/WhatsApp+Image+2024-06-05+at+12.02.55+PM.jpeg
https://schema.org/,Thing,Taipei Blockchain Week,"Taiwans premier blockchain event, covering trends in decentralized finance (DeFi), blockchain technology, and cryptocurrency innovation.Taking place in Taipei Taiwan On Dec 10-14, 2024",https://www.taipeiblockchainweek.com/,http://static1.squarespace.com/static/62e43f6fccb8357cfc29e4de/t/64cf72b50f13885e7de5da41/1691258518997/%23TBW2023+SOCIAL+MEDIA+%281%29.png
https://schema.org/,Thing,Fintech Meetup,"A networking event for fintech professionals and innovators, focusing on digital banking, financial technology, and the future of payments.Taking place in Las Vegas USA On Mar 10-13, 2025",https://fintechmeetup.com/,http://static1.squarespace.com/static/638d3928bfa1276b32244ec6/t/6528902f054bbc1075a1c4cf/1697157168031/RTG_logo_blue%402x.png
https://schema.org/,Thing,Web3BB Tokyo Winter,"A Web3 and blockchain event in Tokyo, covering decentralized finance (DeFi), NFTs, and innovations in blockchain technology for the Asian market.Taking place in Tokyo Japan On Dec 12-13, 2024",https://www.web3bbint.pivot-tokyo.com/,http://static1.squarespace.com/static/63f29e3588b0c5540a2013a3/t/642775b662f5671caa5ff2cd/1680307642120/WEB3BB_Logo_on_Black_1x1_2.png
https://schema.org/,Thing,CBC Summit,"A summit focused on blockchain and cryptocurrency innovations, providing a platform for networking, discussion, and industry growth.Taking place in Washington DC USA On Sep 12, 2024",https://www.cbcsummit.io/,http://static1.squarespace.com/static/640e2395da1d0860844fad2f/t/64526be437687b0c0e54ffae/1683123172707/CBC+square+logo+with+white+font+black+background-01.png
https://schema.org/,Thing,North American Blockchain Summit,"A leading global startup event in Finland, connecting startups, investors, and tech innovators to discuss innovations, venture capital, and the future of startups.Taking place in Dallas USA On Nov 20-21, 2024",https://www.northamericanblockchainsummit.com/,http://static1.squarespace.com/static/64b83bf317b564484f1dcb6b/t/65ce50d877978e4e60ba8693/1708455031839/TBCSummit_SocialWebImages+%285%29.jpg
https://schema.org/,Thing,Web3 Village,"An event centered around Web3 technologies and innovations, featuring discussions on decentralized applications, blockchain ecosystems, and the future of the internet.Taking place in Phan Thiet Vietnam On Oct 14-Nov 10, 2024",https://www.web3villages.com/,http://static1.squarespace.com/static/64e431bd7864a329097e3dc9/t/64e4374ea6683a4bacd69f8f/1692677966116/Asset+6.png
https://schema.org/,Thing,Season of Innovation,"A tech event focused on innovation in the metaverse, covering topics such as virtual worlds, NFTs, and digital assets in the evolving metaverse ecosystem.Taking place in Virtual On Oct 24, 2024",https://www.friendsofthemetaverse.com/,http://static1.squarespace.com/static/658afe8006930c5e71fcf28d/t/658b2be750b70f4feb1425a9/1703619559573/150x150.png
https://schema.org/,Thing,RegTech Summit New York,"A finance event focused on the global shipping industry, covering ship financing, investment opportunities, and market trends in maritime finance.Taking place in New York USA On Nov 21, 2024",https://a-teaminsight.com/events/regtech-summit-new-york-city/,https://a-teaminsight.com/app/uploads/2023/11/DMS2019-225.jpg
https://schema.org/,Thing,RegTech Summit London,"A conference discussing the latest innovations and technologies in regulatory technology (RegTech) for financial services in London.Taking place in London UK On Oct 3, 2024",https://a-teaminsight.com/events/regtech-summit-london/,https://a-teaminsight.com/app/uploads/2023/11/DMS2019-319.jpg
https://schema.org/,Thing,Wiki Finance Expo,"A global expo featuring fintech, blockchain, and digital assets innovations, with an emphasis on financial education and networking opportunities.Taking place in Bangkok Thailand On Sep 7, 2024",https://www.wikiexpo.com/Thailand/2024/en/thexpo-8.html,https://activities.wikiexpo.com/Thailand/2024/en/images/share/share.jpg
https://schema.org/,Thing,Africa Fintech Forum,"A fintech forum focused on driving innovation and collaboration within Africaâ's financial technology sector.Taking place in Nairobi Kenya On Sep 24-25, 2024",https://africafinforum.com/,https://africafinforum.com/wp-content/uploads/2024/04/Logo-AFF.png
https://schema.org/,Thing,11th Africa Fintech Summit,"A fintech summit focused on driving innovation, collaboration, and economic growth through financial technology across Africa.Taking place in Nairobi Kenya On Sep 04-06, 2024",https://africafintechsummit.com/aftsnairobi-overview/,https://africafintechsummit.com/wp-content/uploads/2024/01/AFTSNairobi-Website-Frame.png
https://schema.org/,Thing,Africa Bitcoin Conference,"Africa's largest Bitcoin and cryptocurrency event, discussing the adoption of Bitcoin and decentralized finance (DeFi) across the African continent.Taking place in Nairobi Kenya On Dec 09-11, 2024",https://afrobitcoin.org/,https://afrobitcoin.org/wp-content/uploads/2024/06/MG_1031-scaled.jpg
https://schema.org/,Thing,AIBC East Europe,"A leading event in blockchain, AI, and emerging technologies held in Eastern Europe, providing a platform for startups, investors, and industry experts.Taking place in Budapest Hungary On Sep 02-04, 2024",https://aibc.world/cis/,https://aibc.world/wp-content/uploads/2022/01/Featured-Image-AIBC.jpg
https://schema.org/,Thing,Meta Expo Dubai 2024,"An expo exploring the metaverse, blockchain, and Web3 innovations, with a focus on Dubai as a key market for the future of these technologies.Taking place in Dubai UAE On Sep 05-06, 2024",https://dubai.metaexpo.com/index,https://aibc.world/wp-content/uploads/2022/01/Featured-Image-AIBC.jpg
https://schema.org/,Thing,AIBC Eurasia,"A summit focused on AI, blockchain, and cryptocurrencies, covering innovations in decentralized technologies across the Eurasian region.Taking place in Dubai UAE On Feb 23-25, 2025",https://aibc.world/eurasia,https://aibc.world/wp-content/uploads/2022/12/AIBC-Featured-Image.png
https://schema.org/,Thing,Future of Digital Assets,"A summit focused on the future of digital assets, decentralized finance (DeFi), and innovations in blockchain and cryptocurrency markets.Taking place in New York USA On Nov 19, 2024",https://www.benzinga.com/events/digital-assets/,https://assets.swoogo.com/uploads/full/4202017-66a1338929555.jpg
https://schema.org/,Thing,FP&A Summit,"A summit focused on financial planning and analysis (FP&A), discussing innovations, trends, and strategies to enhance financial performance and decision-making.Taking place in Boston USA On Oct 8, 2024",https://events.financealliance.io/location/boston,https://assetsacara.com/production/organizations/62876e34645e9fcb6e4019c8/1718963201127-FA-Summit-Co-locatedNew-Site-Meta-2024-61.webp
https://schema.org/,Thing,MWC Las Vegas,"A leading global mobile technology event focused on the future of connectivity, mobile innovation, and digital transformation.Taking place in Las Vegas USA On Oct 08-10, 2024",https://www.mwclasvegas.com/,https://assetsacara.com/production/organizations/62876e34645e9fcb6e4019c8/1718963201127-FA-Summit-Co-locatedNew-Site-Meta-2024-61.webp
