@context,@type,name,description,image,url
https://schema.org,Thing,created,"Specifies the entity responsible for originating or producing something.",https://em-content.zobj.net/source/apple/391/hammer-and-wrench_1f6e0-fe0f.png,
https://schema.org,Thing,developed,"Indicates that an entity was responsible for the creation or improvement of something.",https://em-content.zobj.net/source/apple/391/construction_1f6a7.png,
https://schema.org,Thing,partnered with,"Reflects collaboration or alliance between two entities.",https://em-content.zobj.net/source/apple/391/handshake_1f91d.png,
https://schema.org,Thing,purchased,"Denotes acquisition of something by one entity through payment.",https://em-content.zobj.net/source/apple/391/shopping-cart_1f6d2.png,
https://schema.org,Thing,received,"Indicates that an entity accepted or was given something by another.",https://em-content.zobj.net/source/apple/391/package_1f4e6.png,
https://schema.org,Thing,invested in,"Indicates financial or resource commitment by one entity to another.",https://em-content.zobj.net/source/apple/391/money-with-wings_1f4b8.png,
https://schema.org,Thing,verified,"Represents that an entity confirmed the accuracy or truth of another.",https://em-content.zobj.net/source/apple/391/check-mark-button_2705.png,
https://schema.org,Thing,interacted with,"Shows engagement or communication between entities.",https://em-content.zobj.net/source/apple/391/speech-balloon_1f4ac.png,
https://schema.org,Thing,manages,"Reflects the act of overseeing or directing an entity or operation.",https://em-content.zobj.net/source/apple/391/man-office-worker_1f468-200d-1f4bc.png,
https://schema.org,Thing,advises,"Suggests that one entity provides guidance or recommendations to another.",https://em-content.zobj.net/source/apple/391/light-bulb_1f4a1.png,
https://schema.org,Thing,rated,"Represents a judgment or evaluation made by one entity about another.",https://em-content.zobj.net/source/apple/391/star_2b50.png,
https://schema.org,Thing,recommends,"Suggests endorsement or approval of one entity by another.",https://em-content.zobj.net/source/apple/391/thumbs-up_1f44d.png,
https://schema.org,Thing,authored,"Represents that an entity is the creator or writer of a work.",https://em-content.zobj.net/source/apple/391/writing-hand_270d-fe0f.png,
https://schema.org,Thing,belongs to,"Suggests membership or inclusion within a larger group or category.",https://em-content.zobj.net/source/apple/391/label_1f3f7-fe0f.png,
https://schema.org,Thing,governs,"Indicates that one entity directs or controls another.",https://em-content.zobj.net/source/apple/391/crown_1f451.png,
